date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:58	30185/30185	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:09%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_rickshaw.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/graph_rickshaw.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:05:59	23594/23594	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:07%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_chartjs.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/graph_chartjs.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:00	27945/27945	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:08%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_peity.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/graph_peity.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:01	28124/28124	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:09%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_sparkline.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/graph_sparkline.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:01	29604/29604	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:14%20GMT	http://webapplayers.com/inspinia_admin-v2.1/mail_detail.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/mail_detail.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:02	26380/26380	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:14%20GMT	http://webapplayers.com/inspinia_admin-v2.1/mail_compose.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/mail_compose.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:03	22288/22288	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:44%20GMT	http://webapplayers.com/inspinia_admin-v2.1/email_template.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/email_template.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:04	50472/50472	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:24%20GMT	http://webapplayers.com/inspinia_admin-v2.1/widgets.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/widgets.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:05	51143/51143	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:05%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_basic.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/form_basic.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
16:06:06	90375/90375	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:04%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_advanced.html	C:/My%20Web%20Sites/projectblue/webapplayers.com/inspinia_admin-v2.1/form_advanced.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
